Player,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed (mph),Avg Speed Off,Avg Speed Def,Dist. KM,Dist. KM Off,Dist. KM Def,Avg Speed (km/h),Avg Speed (km/h) Off,Avg Speed (km/h) Def,AGE,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,"OPP PTS, PAINT",DEF WS,WS,OWS,DWS,Distance KM PER36,Distance KM PER36 Off,Distance KM PER36 Def
Russell Westbrook,DEN,75,43,32,27.9,10229.8,1.94,1.03,0.91,3.93,4.36,3.54,3.12,1.66,1.46,6.32,7.02,5.7,36,116.2,3.6,11.9,18.2,1.4,28.9,0.5,16.4,11.0,8.9,10.4,30.1,0.054,1.9,-0.1,2.1,4.03,2.14,1.88
Gary Trent Jr.,MIL,74,44,30,25.6,9663.2,1.83,0.92,0.91,4.0,4.09,3.92,2.95,1.48,1.46,6.44,6.58,6.31,26,114.0,2.0,7.4,11.1,1.0,25.4,0.1,2.7,8.3,8.2,8.1,26.2,0.065,3.3,1.6,1.7,4.15,2.08,2.05
Keon Johnson,BKN,79,25,54,24.4,10151.9,1.92,1.01,0.91,4.39,4.5,4.27,3.09,1.63,1.46,7.07,7.24,6.87,23,114.4,3.0,12.5,18.9,1.0,26.1,0.4,17.1,10.0,6.6,7.9,25.5,0.06,0.5,-1.3,1.9,4.56,2.4,2.15
Kris Dunn,LAC,74,45,29,24.1,10093.1,1.91,1.0,0.91,4.46,4.63,4.28,3.07,1.61,1.46,7.18,7.45,6.89,31,106.0,2.7,11.1,16.1,1.7,32.8,0.4,17.3,9.1,6.0,7.6,22.8,0.117,4.0,0.8,3.2,4.59,2.4,2.18
Tyus Jones,PHX,81,36,45,26.8,10823.7,2.05,1.14,0.91,4.3,4.59,4.0,3.3,1.83,1.46,6.92,7.39,6.44,29,116.1,1.9,6.9,10.5,0.9,21.6,0.1,3.9,9.8,8.1,9.9,28.4,0.052,4.4,4.0,0.3,4.43,2.46,1.96
Mark Williams,CHA,44,9,35,26.6,10273.0,1.95,1.03,0.91,4.14,4.34,3.94,3.14,1.66,1.46,6.66,6.98,6.34,23,118.9,7.2,25.5,37.6,0.7,20.1,1.2,49.5,10.5,7.9,10.8,28.5,0.03,4.7,3.1,1.6,4.25,2.25,1.98
Al Horford,BOS,60,44,16,27.6,10112.1,1.92,1.01,0.91,3.98,4.04,3.91,3.09,1.63,1.46,6.41,6.5,6.29,39,108.1,4.8,16.5,24.0,0.6,15.9,0.9,28.3,6.8,6.7,7.7,26.7,0.117,4.4,2.0,2.4,4.03,2.13,1.9
Bobby Portis,MIL,49,30,19,25.4,10175.6,1.93,1.02,0.91,4.26,4.51,4.01,3.11,1.64,1.46,6.86,7.26,6.45,30,110.8,6.6,23.5,34.6,0.7,17.7,0.5,22.6,8.8,7.4,7.0,24.7,0.088,2.7,0.9,1.9,4.41,2.32,2.07
Jordan Hawkins,NOP,56,18,38,23.6,10048.4,1.9,1.0,0.9,4.51,4.77,4.24,3.06,1.61,1.45,7.26,7.68,6.82,23,118.1,2.4,9.7,15.6,0.5,13.6,0.4,14.8,9.0,9.3,9.2,26.8,0.032,-0.5,-0.7,0.1,4.67,2.46,2.21
Caris LeVert,ATL,64,46,18,24.9,10297.0,1.95,1.05,0.9,4.34,4.83,3.88,3.14,1.69,1.45,6.98,7.77,6.24,30,113.4,2.5,9.6,14.8,0.9,21.0,0.5,21.7,8.2,7.9,7.2,25.2,0.067,4.0,2.4,1.6,4.54,2.44,2.1
Kevin Huerter,CHI,69,39,30,24.3,10236.9,1.94,1.04,0.9,4.48,4.97,4.02,3.12,1.67,1.45,7.21,8.0,6.47,26,111.7,2.5,9.8,14.7,1.0,24.0,0.3,15.4,9.3,7.4,6.1,25.3,0.076,1.9,0.6,1.3,4.62,2.47,2.15
Kristaps Porziņģis,BOS,42,30,12,28.8,10252.7,1.94,1.04,0.9,3.9,4.07,3.72,3.12,1.67,1.45,6.28,6.55,5.99,29,110.3,5.1,16.3,23.4,0.7,19.9,1.5,42.6,8.4,7.7,9.5,26.0,0.105,5.3,3.3,2.0,3.9,2.09,1.81
Peyton Watson,DEN,68,40,28,24.4,9732.6,1.84,0.94,0.9,4.31,4.51,4.12,2.96,1.51,1.45,6.94,7.26,6.63,22,113.9,2.7,10.3,15.8,0.7,17.0,1.4,45.1,9.2,7.6,8.8,25.3,0.063,2.5,1.0,1.5,4.37,2.23,2.14
Jonathan Kuminga,GSW,47,28,19,24.3,10296.5,1.95,1.05,0.9,4.49,4.91,4.09,3.14,1.69,1.45,7.23,7.9,6.58,22,108.9,3.4,13.4,20.3,0.8,17.4,0.4,16.3,8.3,6.7,6.5,23.4,0.098,1.9,0.5,1.5,4.65,2.5,2.15
Nikola Jović,MIA,46,21,25,25.1,10298.3,1.95,1.05,0.9,4.32,4.6,4.04,3.14,1.69,1.45,6.95,7.4,6.5,22,110.7,3.3,12.7,19.3,0.8,21.7,0.3,15.1,8.7,6.7,7.9,25.5,0.088,2.5,1.2,1.3,4.5,2.42,2.08
Jose Alvarado,NOP,56,19,37,24.4,10036.7,1.9,1.01,0.89,4.37,4.59,4.14,3.06,1.63,1.43,7.03,7.39,6.66,27,117.1,1.9,7.7,12.0,1.3,32.2,0.3,9.3,9.2,8.5,8.8,25.0,0.04,1.2,0.7,0.5,4.51,2.4,2.11
Tari Eason,HOU,57,36,21,24.9,9974.4,1.89,1.0,0.89,4.22,4.4,4.03,3.04,1.61,1.43,6.79,7.08,6.49,24,109.2,4.1,15.8,23.9,1.7,35.1,0.9,33.6,8.6,7.0,7.2,25.8,0.1,5.0,2.1,2.9,4.4,2.33,2.07
Miles McBride,NYK,64,39,25,24.9,10085.4,1.91,1.02,0.89,4.36,4.59,4.13,3.07,1.64,1.43,7.02,7.39,6.65,24,109.7,1.8,6.9,10.8,1.0,22.1,0.3,11.3,7.9,6.4,7.2,24.7,0.095,3.2,1.8,1.4,4.44,2.37,2.07
Collin Sexton,UTA,63,14,49,27.9,10668.2,2.02,1.13,0.89,4.04,4.34,3.71,3.25,1.82,1.43,6.5,6.98,5.97,26,117.9,1.8,6.0,9.1,0.7,21.1,0.1,3.4,12.9,8.6,12.2,30.3,0.039,2.4,2.5,-0.1,4.19,2.35,1.85
Aaron Wiggins,OKC,76,62,14,22.9,10031.2,1.9,1.01,0.89,4.64,5.08,4.22,3.06,1.63,1.43,7.47,8.18,6.79,26,106.6,2.8,11.3,17.6,0.8,15.6,0.2,9.8,5.7,7.9,5.4,21.4,0.107,5.4,2.7,2.7,4.81,2.56,2.25
Derrick Jones Jr.,LAC,77,48,29,24.3,9791.4,1.85,0.97,0.88,4.27,4.41,4.13,2.98,1.56,1.42,6.87,7.1,6.65,28,108.7,2.2,9.2,13.2,1.0,21.2,0.4,19.3,8.7,6.0,8.1,23.8,0.099,4.7,2.1,2.6,4.41,2.31,2.1
Isaiah Collier,UTA,71,14,57,25.9,10357.5,1.96,1.08,0.88,4.23,4.58,3.85,3.15,1.74,1.42,6.81,7.37,6.2,20,118.6,2.9,10.4,16.1,0.9,25.0,0.2,9.6,11.4,8.2,9.7,27.9,0.031,-0.8,-1.3,0.5,4.38,2.42,1.97
Bogdan Bogdanović,LAC,54,33,21,25.0,10151.6,1.92,1.04,0.88,4.31,4.71,3.92,3.09,1.67,1.42,6.94,7.58,6.31,32,110.0,2.5,9.8,14.2,0.8,16.9,0.2,8.7,8.5,6.0,8.2,23.4,0.094,1.9,0.7,1.2,4.45,2.4,2.04
Julian Champagnie,SAS,82,34,48,23.6,9728.8,1.84,0.97,0.87,4.38,4.63,4.14,2.96,1.56,1.4,7.05,7.45,6.66,24,114.5,3.1,12.1,18.9,0.7,18.3,0.4,14.4,8.3,7.9,8.2,24.0,0.057,2.5,1.3,1.2,4.52,2.38,2.14
Ausar Thompson,DET,59,34,25,22.5,9328.9,1.77,0.9,0.86,4.41,4.62,4.21,2.85,1.45,1.38,7.1,7.44,6.78,22,109.2,3.3,13.9,21.0,1.7,38.6,0.7,27.4,8.1,6.8,6.7,21.4,0.09,3.8,1.5,2.4,4.56,2.32,2.21
Ja'Kobe Walter,TOR,52,19,33,21.2,9404.8,1.78,0.93,0.86,4.67,4.98,4.38,2.86,1.5,1.38,7.52,8.01,7.05,20,111.1,1.9,9.2,14.2,0.8,21.8,0.2,9.7,7.6,6.5,6.8,23.5,0.072,1.2,0.3,0.9,4.86,2.55,2.34
Buddy Hield,GSW,82,48,34,22.7,10004.8,1.89,1.04,0.86,4.67,5.07,4.26,3.04,1.67,1.38,7.52,8.16,6.86,32,110.1,2.6,11.1,17.1,0.8,20.3,0.3,13.2,7.5,6.2,6.9,22.9,0.083,2.8,0.6,2.2,4.82,2.65,2.19
Keldon Johnson,SAS,77,31,46,23.9,9756.6,1.85,0.99,0.86,4.31,4.62,4.0,2.98,1.59,1.38,6.94,7.44,6.44,25,115.9,3.4,13.6,21.7,0.6,14.4,0.3,10.7,8.6,8.6,7.1,25.3,0.048,3.2,2.2,1.0,4.49,2.39,2.08
Brandon Boston,NOP,42,8,34,23.6,9530.3,1.8,0.95,0.86,4.3,4.43,4.16,2.9,1.53,1.38,6.92,7.13,6.69,23,114.8,2.5,10.7,17.3,1.3,25.2,0.2,9.9,9.3,7.2,9.0,26.3,0.054,,,,4.42,2.33,2.11
D'Angelo Russell,BKN,58,26,32,25.5,10072.2,1.91,1.05,0.86,4.17,4.53,3.81,3.07,1.69,1.38,6.71,7.29,6.13,29,111.6,2.4,9.3,14.5,1.0,21.5,0.4,14.0,9.0,7.2,8.6,27.7,0.084,1.9,0.7,1.3,4.33,2.39,1.95
Mike Conley,MIN,71,44,27,24.7,10082.3,1.91,1.05,0.86,4.35,4.68,4.01,3.07,1.69,1.38,7.0,7.53,6.45,37,109.0,2.1,8.5,12.4,1.1,26.4,0.2,7.6,8.3,6.3,7.6,24.3,0.097,5.2,3.0,2.2,4.47,2.46,2.01
Wendell Carter Jr.,ORL,68,31,37,25.9,9596.7,1.82,0.95,0.86,3.93,4.0,3.86,2.93,1.53,1.38,6.32,6.44,6.21,26,107.8,5.0,20.2,29.5,0.8,16.0,0.6,23.3,8.8,6.1,7.5,25.4,0.112,4.6,1.6,3.0,4.07,2.13,1.92
Anthony Black,ORL,78,39,39,24.2,9460.5,1.79,0.95,0.85,4.11,4.2,4.0,2.88,1.53,1.37,6.61,6.76,6.44,21,107.1,2.3,10.0,15.1,1.1,23.9,0.6,19.6,8.5,5.9,7.3,22.9,0.11,2.4,-0.6,3.0,4.28,2.28,2.04
Scotty Pippen Jr.,MEM,79,46,33,21.3,9365.1,1.77,0.92,0.85,4.7,5.05,4.36,2.85,1.48,1.37,7.56,8.13,7.02,24,109.7,2.5,10.5,16.3,1.3,29.9,0.4,14.9,8.4,6.7,6.9,20.6,0.081,4.7,2.4,2.3,4.82,2.5,2.32
Amir Coffey,LAC,72,41,31,24.3,9199.6,1.74,0.9,0.85,4.0,4.04,3.96,2.8,1.45,1.37,6.44,6.5,6.37,28,110.6,1.8,7.2,10.9,0.6,13.3,0.1,4.3,9.5,6.7,8.0,24.3,0.086,4.0,2.4,1.7,4.15,2.15,2.03
Spencer Dinwiddie,DAL,79,37,42,27.0,9809.4,1.86,1.01,0.85,3.86,4.14,3.57,2.99,1.63,1.37,6.21,6.66,5.75,32,115.1,2.4,8.6,13.1,0.9,21.6,0.2,7.7,9.4,8.7,9.3,30.4,0.06,3.7,2.4,1.2,3.99,2.17,1.83
Luke Kennard,MEM,65,37,28,22.6,9594.4,1.82,0.98,0.84,4.55,4.97,4.15,2.93,1.58,1.35,7.32,8.0,6.68,29,114.5,2.2,9.4,14.3,0.8,19.6,0.1,3.0,9.9,7.6,8.7,23.5,0.054,3.9,2.6,1.3,4.67,2.52,2.15
Duncan Robinson,MIA,74,30,44,24.1,10014.3,1.9,1.06,0.84,4.4,4.9,3.9,3.06,1.71,1.35,7.08,7.89,6.28,31,109.9,2.0,8.4,12.1,0.5,14.2,0.1,4.7,8.3,6.3,7.3,24.1,0.089,2.7,1.3,1.4,4.57,2.55,2.02
Chris Paul,SAS,82,34,48,27.9,9606.7,1.82,0.98,0.84,3.66,3.95,3.38,2.93,1.58,1.35,5.89,6.36,5.44,40,115.0,3.2,11.0,16.7,1.3,26.8,0.3,8.3,9.3,8.6,9.3,28.7,0.062,5.7,4.2,1.6,3.78,2.04,1.74
Grayson Allen,PHX,64,29,35,24.1,9837.2,1.86,1.03,0.83,4.29,4.58,3.98,2.99,1.66,1.34,6.9,7.37,6.41,29,118.0,2.5,10.3,15.7,0.8,24.0,0.3,12.5,9.2,6.9,9.1,24.9,0.034,2.5,2.0,0.6,4.47,2.48,2.0
Jake LaRavia,SAC,66,40,26,20.4,9182.7,1.74,0.91,0.83,4.71,4.96,4.46,2.8,1.46,1.34,7.58,7.98,7.18,23,111.2,2.6,12.0,18.5,0.9,24.7,0.3,14.4,9.0,6.4,6.7,21.2,0.071,2.9,1.4,1.5,4.94,2.58,2.36
AJ Green,MIL,73,44,29,22.7,9547.5,1.81,0.98,0.83,4.47,4.89,4.06,2.91,1.58,1.34,7.19,7.87,6.53,25,107.6,2.1,8.7,12.6,0.5,14.1,0.1,4.8,7.5,5.9,6.6,21.6,0.1,,,,4.61,2.51,2.13
Justin Champagnie,WAS,62,16,46,21.6,9071.3,1.72,0.9,0.82,4.44,4.66,4.22,2.77,1.45,1.32,7.15,7.5,6.79,24,116.8,3.9,15.9,25.7,1.0,33.0,0.6,28.1,8.6,7.6,7.8,23.0,0.038,2.8,1.6,1.2,4.62,2.42,2.2
Cody Williams,UTA,50,9,41,21.2,9211.3,1.74,0.92,0.82,4.59,4.67,4.5,2.8,1.48,1.32,7.39,7.52,7.24,20,118.5,1.7,7.5,11.4,0.5,16.1,0.3,16.2,9.6,7.1,8.8,23.5,0.027,-1.2,-1.2,0.1,4.75,2.51,2.24
Cody Martin,PHX,53,16,37,22.1,9382.5,1.78,0.96,0.82,4.46,4.77,4.14,2.86,1.54,1.32,7.18,7.68,6.66,29,111.3,3.2,13.6,20.7,1.1,28.7,0.6,26.4,8.2,6.4,7.6,22.0,0.075,1.3,0.1,1.2,4.66,2.51,2.15
DaQuan Jeffries,CHA,47,9,38,22.8,9162.4,1.74,0.92,0.81,4.27,4.48,4.06,2.8,1.48,1.3,6.87,7.21,6.53,27,118.2,2.1,8.7,13.4,0.6,19.7,0.5,26.3,9.8,6.8,7.9,23.3,0.03,0.6,0.0,0.6,4.42,2.34,2.05
Nick Smith Jr.,CHA,60,14,46,22.8,9695.4,1.84,1.03,0.81,4.52,4.96,4.06,2.96,1.66,1.3,7.27,7.98,6.53,21,116.4,1.9,8.0,12.3,0.3,8.6,0.1,5.0,9.0,6.4,8.7,24.1,0.042,-0.5,-0.9,0.3,4.67,2.62,2.05
Royce O'Neale,PHX,75,33,42,24.5,9744.5,1.85,1.03,0.81,4.21,4.55,3.84,2.98,1.66,1.3,6.78,7.32,6.18,32,116.4,3.9,15.7,24.1,0.9,23.1,0.5,19.1,8.9,7.3,8.7,25.9,0.046,2.8,1.6,1.2,4.38,2.44,1.91
Tyrese Martin,BKN,60,16,44,21.9,9470.1,1.79,0.98,0.81,4.55,4.83,4.25,2.88,1.58,1.3,7.32,7.77,6.84,26,113.4,2.7,13.3,19.5,0.6,15.3,0.2,8.4,9.3,5.7,7.6,22.7,0.06,0.9,0.0,0.9,4.73,2.6,2.14
Ben Sheppard,IND,63,40,23,19.5,8729.5,1.65,0.84,0.81,4.72,4.85,4.6,2.66,1.35,1.3,7.6,7.81,7.4,23,113.4,2.1,10.6,16.4,0.6,18.0,0.2,11.6,6.3,5.8,6.1,22.0,0.054,2.1,1.0,1.0,4.91,2.49,2.4
Daniel Gafford,DAL,57,28,29,21.5,8799.1,1.67,0.86,0.8,4.35,4.52,4.18,2.69,1.38,1.29,7.0,7.27,6.73,26,113.4,4.1,16.8,26.9,0.4,12.7,1.8,59.0,8.7,7.1,6.7,21.9,0.058,5.9,4.4,1.5,4.5,2.31,2.16
Dean Wade,CLE,59,47,12,21.2,8859.1,1.68,0.88,0.79,4.45,4.89,4.04,2.7,1.42,1.27,7.16,7.87,6.5,28,109.4,3.4,15.0,22.4,0.7,18.0,0.3,18.0,6.4,5.8,7.2,21.3,0.082,3.0,1.3,1.7,4.58,2.41,2.16
Isaiah Joe,OKC,74,63,11,21.7,9056.0,1.72,0.92,0.79,4.42,4.8,4.04,2.77,1.48,1.27,7.11,7.72,6.5,25,104.1,2.1,8.9,13.6,0.6,15.5,0.1,5.1,5.9,7.0,5.4,18.8,0.117,5.1,2.9,2.2,4.6,2.46,2.11
Jonathan Mogbo,TOR,63,18,45,20.4,8329.5,1.58,0.79,0.79,4.3,4.4,4.2,2.54,1.27,1.27,6.92,7.08,6.76,23,111.9,3.2,15.7,24.7,0.9,24.2,0.5,30.9,8.2,6.8,7.4,22.7,0.065,1.9,0.3,1.6,4.48,2.24,2.24
Nick Richards,PHX,57,17,40,22.0,9128.7,1.73,0.94,0.79,4.43,4.64,4.21,2.78,1.51,1.27,7.13,7.47,6.78,27,120.9,5.6,24.3,35.0,0.2,9.9,1.0,43.7,9.0,6.6,8.5,22.6,0.012,3.0,1.8,1.2,4.55,2.47,2.08
Sam Hauser,BOS,71,52,19,21.7,9030.8,1.71,0.93,0.78,4.48,4.73,4.21,2.75,1.5,1.26,7.21,7.61,6.78,27,109.8,2.5,11.3,17.1,0.6,18.8,0.2,7.9,5.1,5.9,5.0,21.2,0.08,4.4,2.6,1.8,4.56,2.49,2.09
Jaime Jaquez Jr.,MIA,66,32,34,20.7,9000.6,1.7,0.93,0.78,4.6,5.01,4.2,2.74,1.5,1.26,7.4,8.06,6.76,24,113.9,3.1,14.5,21.5,0.9,27.9,0.2,12.4,7.4,5.8,6.7,20.8,0.054,2.3,0.5,1.8,4.77,2.61,2.19
Moses Moody,GSW,74,45,29,22.3,8893.1,1.68,0.91,0.78,4.22,4.5,3.93,2.7,1.46,1.26,6.79,7.24,6.32,23,108.9,1.9,8.4,12.3,0.8,17.3,0.4,20.7,7.3,5.4,6.8,20.2,0.09,3.5,1.7,1.8,4.36,2.36,2.03
Bruce Brown,NOP,41,15,26,22.5,8894.6,1.68,0.91,0.78,4.19,4.55,3.84,2.7,1.46,1.26,6.74,7.32,6.18,28,116.8,3.0,13.4,20.5,0.8,21.9,0.2,11.6,8.4,7.0,6.8,22.4,0.039,0.7,0.1,0.6,4.32,2.34,2.02
Georges Niang,ATL,79,55,24,21.5,8795.3,1.67,0.88,0.78,4.31,4.81,3.86,2.69,1.42,1.26,6.94,7.74,6.21,32,114.1,2.8,12.6,19.6,0.4,10.3,0.2,9.3,6.6,6.7,6.3,21.0,0.053,2.9,1.5,1.4,4.5,2.38,2.11
Terance Mann,ATL,67,37,30,21.1,8661.7,1.64,0.86,0.78,4.32,4.55,4.1,2.64,1.38,1.26,6.95,7.32,6.6,28,115.2,2.0,9.4,14.2,0.7,19.4,0.2,10.6,7.8,6.1,6.7,21.7,0.045,3.0,1.7,1.3,4.5,2.35,2.15
Tristan da Silva,ORL,74,35,39,22.0,9089.1,1.72,0.94,0.78,4.37,4.61,4.11,2.77,1.51,1.26,7.03,7.42,6.61,24,110.3,2.3,11.4,17.1,0.4,11.1,0.2,9.0,8.5,5.5,6.3,21.8,0.079,,,,4.53,2.47,2.06
Zach Edey,MEM,66,35,31,21.4,8564.8,1.62,0.84,0.78,4.32,4.58,4.06,2.61,1.35,1.26,6.95,7.37,6.53,23,111.5,4.8,20.4,29.8,0.5,16.5,1.3,50.9,9.4,6.0,7.7,20.8,0.069,4.9,2.7,2.2,4.39,2.27,2.12
Obi Toppin,IND,79,48,31,19.6,8584.0,1.63,0.85,0.77,4.63,4.98,4.3,2.62,1.37,1.24,7.45,8.01,6.92,27,116.1,3.3,16.7,26.3,0.6,17.6,0.4,15.1,7.0,5.5,6.5,22.9,0.038,4.3,2.7,1.6,4.81,2.52,2.28
Noah Clowney,BKN,46,11,35,22.7,9140.1,1.73,0.96,0.77,4.27,4.55,3.97,2.78,1.54,1.24,6.87,7.32,6.39,20,115.2,3.0,13.8,21.0,0.5,15.2,0.5,25.0,8.9,7.0,7.1,21.7,0.049,0.5,-0.3,0.8,4.41,2.44,1.97
Julian Strawther,DEN,65,41,24,21.3,8642.5,1.64,0.87,0.77,4.36,4.71,4.02,2.64,1.4,1.24,7.02,7.58,6.47,23,114.4,1.9,8.3,12.7,0.6,16.7,0.2,11.6,8.0,6.8,7.4,21.4,0.052,1.3,0.5,0.8,4.46,2.37,2.1
Johnny Juzang,UTA,64,15,49,19.8,8907.5,1.69,0.92,0.77,4.76,4.97,4.51,2.72,1.48,1.24,7.66,8.0,7.26,24,120.3,2.2,10.9,16.8,0.6,21.1,0.1,9.5,9.3,6.3,8.6,21.8,0.014,1.6,1.3,0.3,4.95,2.69,2.25
Kel'el Ware,MIA,64,28,36,22.2,8523.5,1.61,0.85,0.76,4.09,4.32,3.86,2.59,1.37,1.22,6.58,6.95,6.21,21,110.9,5.6,23.8,35.6,0.6,17.4,1.1,47.7,8.1,6.3,7.0,23.3,0.077,4.1,1.7,2.5,4.2,2.22,1.98
Clint Capela,ATL,55,27,28,21.4,8369.7,1.59,0.83,0.76,4.17,4.47,3.89,2.56,1.34,1.22,6.71,7.19,6.26,31,111.5,5.4,23.8,36.1,0.6,13.9,1.0,40.8,8.5,6.7,7.6,22.2,0.071,3.2,1.7,1.5,4.31,2.25,2.05
Sam Merrill,CLE,71,54,17,19.7,8259.6,1.56,0.8,0.76,4.43,4.78,4.12,2.51,1.29,1.22,7.13,7.69,6.63,29,107.1,1.7,7.7,12.1,0.7,21.5,0.2,11.4,6.0,5.7,4.8,17.7,0.089,3.3,1.8,1.5,4.59,2.36,2.23
Kyle Filipowski,UTA,72,13,59,21.1,8580.6,1.63,0.87,0.75,4.29,4.46,4.11,2.62,1.4,1.21,6.9,7.18,6.61,21,118.9,4.6,21.3,33.4,0.7,21.1,0.3,20.4,9.4,6.6,8.3,24.6,0.024,2.5,1.5,1.0,4.47,2.39,2.06
Tre Jones,CHI,46,21,25,19.7,8333.9,1.58,0.83,0.75,4.5,4.89,4.13,2.54,1.34,1.21,7.24,7.87,6.65,25,113.5,1.8,8.6,13.6,0.8,25.9,0.2,9.0,6.3,6.7,5.3,20.9,0.052,2.9,2.3,0.6,4.64,2.45,2.21
Tidjane Salaün,CHA,60,12,48,20.7,8775.3,1.66,0.91,0.75,4.47,4.73,4.19,2.67,1.46,1.21,7.19,7.61,6.74,19,111.2,3.5,16.8,25.2,0.5,14.2,0.2,14.3,9.0,5.3,6.9,20.0,0.069,0.0,-0.9,0.9,4.64,2.54,2.1
Isaac Okoro,CLE,55,44,11,19.1,7955.2,1.51,0.76,0.75,4.42,4.66,4.19,2.43,1.22,1.21,7.11,7.5,6.74,24,109.7,1.5,7.2,10.8,0.6,17.7,0.3,16.3,6.3,5.2,6.2,17.5,0.072,2.5,1.5,1.0,4.58,2.3,2.28
Ryan Dunn,PHX,74,32,42,19.1,8121.9,1.54,0.8,0.74,4.55,4.6,4.5,2.48,1.29,1.19,7.32,7.4,7.24,22,115.1,2.4,11.7,17.9,0.6,20.1,0.5,25.6,6.4,5.7,5.8,18.2,0.042,1.0,0.2,0.7,4.67,2.43,2.24
Vít Krejčí,ATL,57,28,29,20.2,8467.6,1.6,0.86,0.74,4.45,4.98,3.96,2.57,1.38,1.19,7.16,8.01,6.37,25,111.6,2.4,11.6,16.9,0.6,16.7,0.5,21.8,8.1,5.6,6.5,22.1,0.064,,,,4.58,2.46,2.12
Gabe Vincent,LAL,72,46,26,21.2,8502.1,1.61,0.87,0.74,4.23,4.46,3.98,2.59,1.4,1.19,6.81,7.18,6.41,29,110.7,1.0,4.5,7.0,0.7,21.7,0.2,9.0,7.4,6.3,7.3,21.8,0.074,1.3,0.3,1.0,4.4,2.38,2.02
